Issue Date
Flags:  0=Forecast, 1=Estimated, 2=Observed

Date_Time                   F10          Kp     F10Flag      KpFlag  F10_41dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz      SW_Den
2013-03-16T17:30:00Z 124.8000000   1.6113333           2           1 112.1505882   2.7407333  53.6290000          -1  53.6290000          -1   5.9230060 147.9946168 438.6000000  -0.1600000   4.4800000
2013-03-16T17:31:00Z 124.8000000   1.6131889           2           1 112.1505882   2.7427089  53.2210000          -1  53.2210000          -1   5.7884367 309.8055711 438.6000000   0.2000000   4.4800000
2013-03-16T17:32:00Z 124.8000000   1.6150444           2           1 112.1505882   2.7446844  52.2010000          -1  52.2010000          -1   5.8849044 357.6140560 437.3000000   0.2400000   4.5300000
2013-03-16T17:33:00Z 124.8000000   1.6169000           2           1 112.1505882   2.7466600  55.3630000          -1  55.3630000          -1   5.7726597 317.1210964 437.3000000   0.2800000   4.5300000
2013-03-16T17:34:00Z 124.8000000   1.6187556           2           1 112.1505882   2.7486356  57.1990000          -1  57.1990000          -1   5.8462039 328.6713071 437.3000000   0.2300000   4.5300000
2013-03-16T17:35:00Z 124.8000000   1.6206111           2           1 112.1505882   2.7506111  56.1790000          -1  56.1790000          -1   5.7678939   7.5946434 437.3000000   0.4500000   4.5300000
2013-03-16T17:36:00Z 124.8000000   1.6224667           2           1 112.1505882   2.7525867  56.2810000          -1  56.2810000          -1   5.7608506  60.8519282 437.3000000   0.2900000   4.5300000
2013-03-16T17:37:00Z 124.8000000   1.6243222           2           1 112.1505882   2.7545622  57.5050000          -1  57.5050000          -1   5.8272978  88.3788541 437.3000000   0.0300000   4.5300000
2013-03-16T17:38:00Z 124.8000000   1.6261778           2           1 112.1505882   2.7565378  55.4650000          -1  55.4650000          -1   5.8315693  98.8418146 438.4000000  -0.1400000   4.1400000
2013-03-16T17:39:00Z 124.8000000   1.6280333           2           1 112.1505882   2.7585133  56.6890000          -1  56.6890000          -1   5.8212885 123.8961666 438.4000000  -0.4300000   4.1400000
2013-03-16T17:40:00Z 124.8000000   1.6298889           2           1 112.1505882   2.7604889  58.1170000          -1  58.1170000          -1   5.8468624 111.4767910 438.4000000  -0.2400000   4.1400000
2013-03-16T17:41:00Z 124.8000000   1.6317444           2           1 112.1505882   2.7624644  63.9310000          -1  63.9310000          -1   6.0160286  63.4349488 438.4000000   0.2500000   4.1400000
2013-03-16T17:42:00Z 124.8000000   1.6336000           2           1 112.1505882   2.7644400  69.8470000          -1  69.8470000          -1   5.8847855  39.9203921 438.4000000   0.4900000   4.1400000
2013-03-16T17:43:00Z 124.8000000   1.6354556           2           1 112.1505882   2.7664156  70.5610000          -1  70.5610000          -1   5.8951251  51.5626985 438.4000000   0.5000000   4.1400000
2013-03-16T17:44:00Z 124.8000000   1.6373111           2           1 112.1505882   2.7683911  68.1130000          -1  68.1130000          -1   5.9119963  54.8879888 434.2000000   0.4500000   4.4300000
2013-03-16T17:45:00Z 124.8000000   1.6391667           2           1 112.1505882   2.7703667  66.5830000          -1  66.5830000          -1   5.8692759  30.9637565 434.2000000   1.2000000   4.4300000
2013-03-16T17:46:00Z 124.8000000   1.6410222           2           1 112.1505882   2.7723422  62.9110000          -1  62.9110000          -1   5.8818534  13.9348351 434.2000000   1.3300000   4.4300000
2013-03-16T17:47:00Z 124.8000000   1.6428778           2           1 112.1505882   2.7743178  62.5030000          -1  62.5030000          -1   5.9210303  43.3397176 434.2000000   0.7100000   4.4300000
2013-03-16T17:48:00Z 124.8000000   1.6447333           2           1 112.1505882   2.7762933  64.4410000          -1  64.4410000          -1   5.8979064  88.9291755 434.2000000   0.0200000   4.4300000
