Adjusted F10.7 flux from the LASP penticton radio data

Downloaded from 1965/01/01 in csv format
https://lasp.colorado.edu/lisird/data/penticton_radio_flux/

Converted with IDL:
logfilename='penticton_radio_flux.csv'
read_log_data
jul2greg, wlog(*,0), month, day, year, hour, minute
openw,1,'f107new.txt'
for i=0,n_elements(year)-1 do $
   printf,1,year(i),month(i),day(i),hour(i),minute(i),wlog(i,1), $
   format='(i4,4i3,f7.1)'
close,1

year mo dy hr mn f107
#START
1966 10 16 16 48  120.4
1966 10 17 16 48  120.5
1966 10 18 16 48  118.6
1966 10 19 16 48  115.5
1966 10 20 16 48  124.1
1966 10 21 16 48  120.9
1966 10 22 16 48  119.8
1966 10 23 16 48  111.0
1966 10 24 16 48  106.1
1966 10 25 16 48  100.8
1966 10 26 16 48   97.7
1966 10 27 16 48   92.0
1966 10 28 16 48   94.1
1966 10 29 16 48   99.7
1966 10 30 16 48   95.7
1966 10 31 16 48   97.1
1966 11  1 16 48   94.5
1966 11  2 16 48   96.7
1966 11  3 16 48   93.1
1966 11  4 16 48   91.7
1966 11  5 16 48   97.9
1966 11  6 16 48  104.7
1966 11  7 16 48  113.4
1966 11  8 16 48  117.0
1966 11  9 16 48  117.2
1966 11 10 16 48  122.0
1966 11 11 16 48  126.1
1966 11 12 16 48  126.3
1966 11 13 16 48  126.4
1966 11 14 16 48  124.0
1966 11 15 16 48  122.7
1966 11 16 16 48  121.1
1966 11 17 16 48  113.3
1966 11 18 16 48  113.4
1966 11 19 16 48  111.0
1966 11 20 16 48  110.9
1966 11 21 16 48  110.6
1966 11 22 16 48  116.5
1966 11 23 16 48  114.6
1966 11 24 16 48  113.8
1966 11 25 16 48  110.8
1966 11 26 16 48  107.3
1966 11 27 16 48  111.2
1966 11 28 16 48  104.1
1966 11 29 16 48   98.0
1966 11 30 16 48   94.6
1966 12  1 16 48   92.3
1966 12  2 16 48   95.0
1966 12  3 16 48   98.7
1966 12  4 16 48  104.8
1966 12  5 16 48  110.9
1966 12  6 16 48  115.6
1966 12  7 16 48  117.7
1966 12  8 16 48  123.7
1966 12  9 16 48  146.2
1966 12 10 16 48  157.3
1966 12 11 16 48  162.9
1966 12 12 16 48  157.7
1966 12 13 16 48  155.5
1966 12 14 16 48  149.5
1966 12 15 16 48  144.8
1966 12 16 16 48  135.2
1966 12 17 16 48  124.9
1966 12 18 16 48  111.2
1966 12 19 16 48  112.3
1966 12 20 16 48  107.6
1966 12 21 16 48  106.4
1966 12 22 16 48  105.5
1966 12 23 16 48  110.7
1966 12 24 16 48  110.6
1966 12 25 16 48  111.6
1966 12 26 16 48  110.9
1966 12 27 16 48  109.6
1966 12 28 16 48  107.5
1966 12 29 16 48  109.3
1966 12 30 16 48  115.1
1966 12 31 16 48  120.5
1967  1  1 16 48  124.4
1967  1  2 16 48  143.0
1967  1  3 16 48  154.0
1967  1  4 16 48  160.7
1967  1  5 16 48  168.2
1967  1  6 16 48  160.5
1967  1  7 16 48  153.7
1967  1  8 16 48  142.9
1967  1  9 16 48  144.7
1967  1 10 16 48  145.7
1967  1 11 16 48  139.9
1967  1 12 16 48  139.2
1967  1 13 16 48  138.2
1967  1 14 16 48  135.3
1967  1 15 16 48  126.7
1967  1 16 16 48  120.2
1967  1 17 16 48  116.9
1967  1 18 16 48  117.4
1967  1 19 16 48  116.5
1967  1 20 16 48  127.0
1967  1 21 16 48  138.3
1967  1 22 16 48  139.9
1967  1 23 16 48  148.8
1967  1 24 16 48  146.8
1967  1 25 16 48  142.8
1967  1 26 16 48  154.3
1967  1 27 16 48  158.3
