Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
      28       8     0.307642     -1.14856
      28       9     0.391683     -2.78132
      28      10     -1.60947     -4.43797
      28      11     -2.87046     0.270387
      28      12     0.556184     0.878417
      28      13      3.01607      1.22717
      28      14      1.51654     -1.35907
      28      15     -3.00762     -3.51749
      28      16     -2.23025    -0.418318
      28      17      1.49428      3.63903
      28      18      1.46224      2.64372
      28      19      3.29326     0.374523
      28      20     -2.56755     -1.58344
      28      21      2.06371      2.16943
      28      22      2.38725      1.98449
      28      23      3.59690      2.14276
      28      24     0.803234     -1.72236
      28      25     -3.34198      1.70277
      28      26     -1.99160     0.246948
      28      27     -3.28361     -2.77751
      28      28     -1.17422     0.586560
      29       0     -1.79956      0.00000
      29       1     -2.81182     -1.65026
      29       2    -0.349376     0.238344
      29       3    -0.638755      1.80221
      29       4      2.40995    -0.288505
      29       5    -0.553195    -0.236966
      29       6     -1.32704     0.893023
      29       7     -1.39942     0.200112
      29       8    -0.619975     0.126611
      29       9      1.41211     -1.30420
      29      10      1.70105     0.501299
      29      11      1.22124      2.08615
      29      12      1.71671    -0.935412
      29      13     -1.79955     0.820007
      29      14    0.0524621    0.0668846
      29      15     0.542196      2.32643
      29      16      1.08927    -0.684580
      29      17    -0.250856     -1.79562
      29      18     -6.31113      2.06102
      29      19     -2.88765     -2.37894
      29      20    0.0391313      2.04849
      29      21      2.06765     -1.30561
      29      22    -0.819605   -0.0434809
      29      23     -1.87308     0.271040
      29      24     -1.08197     -5.52231
      29      25      4.42258      5.14402
      29      26     -2.97061      2.48178
      29      27      6.02920      2.51750
      29      28      2.30877     0.886938
      29      29  -0.00223990      1.03923
      30       0    -0.215114      0.00000
      30       1      1.24125     -1.09129
      30       2     0.803796    -0.974341
      30       3    0.0527199     0.207874
      30       4     -1.50779      1.19018
      30       5    0.0559466      1.60817
      30       6      1.00939    -0.713305
      30       7     0.450392     -2.28205
      30       8     -2.12872     0.430601
      30       9     -1.18166      1.21306
      30      10     0.730428      4.34727
      30      11      2.08486      2.16707
      30      12    -0.547558    -0.469539
      30      13     -2.28177     -3.63708
      30      14    -0.921217    -0.517414
      30      15      1.46881      1.02282
      30      16      2.81536      2.97727
      30      17     -2.84686    -0.829106
      30      18      1.07501     -2.24203
      30      19     0.261312     -2.19186
      30      20      3.22272    -0.957862
      30      21      2.30639      1.53314
      30      22     -4.69655    -0.727766
      30      23    -0.784045     -4.15760
      30      24     0.919031      1.18418
      30      25      7.22648      3.02688
      30      26    -0.985358      1.24908
      30      27     -1.03597     -2.91890
      30      28     -3.39677      4.31923
      30      29    -0.430472     -4.69000
      30      30     -1.60233     -1.43496
      31       0     0.602704      0.00000
      31       1      2.13452      1.36727
      31       2     0.370375     0.545633
      31       3     0.977381    -0.278268
      31       4     -1.50477     0.758804
      31       5     -1.19602    -0.299822
      31       6     0.133636    -0.864730
      31       7     -1.09667     0.516942
      31       8     0.972515     0.437807
      31       9     0.485295    -0.250635
      31      10     -1.51828     -1.62549
      31      11     -2.67280     -1.53595
      31      12     -3.00967     0.411491
      31      13      3.36719    -0.687146
      31      14      4.27125     -3.01154
      31      15    0.0315275    -0.650842
      31      16     -3.20427   -0.0673758
      31      17     -2.57148      3.19345
      31      18      3.43824     0.490269
      31      19      3.84856     0.572540
      31      20     -2.34720     0.450869
      31      21     -2.54532      1.86929
      31      22     -1.65142      3.05695
      31      23      6.67670     -1.11978
      31      24      1.90939     0.323281
      31      25     -2.78779     -1.02610
      31      26     -4.59174     0.419000
      31      27      3.15973     -1.40145
      31      28     0.738616      1.95909
      31      29     0.317519      3.39359
      31      30      4.85813      1.95286
      31      31     0.272494     0.688357
      32       0    -0.818027      0.00000
      32       1     -1.63357     0.498090
      32       2    -0.842235      3.04972
      32       3    -0.399441      1.50137
      32       4      1.15855     -1.57765
      32       5    -0.285177     -1.64848
      32       6     -1.57345    -0.791859
      32       7    -0.174444     0.294580
      32       8      2.81764     0.752162
      32       9      1.85461     0.478815
      32      10     0.645461     -1.10584
      32      11    -0.319367     -2.57573
      32      12      1.05825    -0.314226
      32      13     0.309426      2.33715
      32      14   -0.0839190      1.69956
      32      15    0.0824234      2.21947
      32      16     -1.27933     -2.98173
      32      17     0.645589     -2.32696
      32      18   -0.0907851    -0.111989
      32      19     -3.97703     0.766041
      32      20    -0.724176      2.37393
      32      21     -3.59530     -2.23463
      32      22      1.37652    0.0733865
      32      23     -1.71017     0.976808
      32      24   -0.0996099    -0.373302
      32      25     0.772101     -1.78292
      32      26     -2.19021    -0.954715
      32      27      6.78842      1.95877
      32      28    -0.341691      5.88395
      32      29    -0.494255     -7.33264
      32      30     -3.03403     -3.59918
      32      31     -1.68345     -1.81868
      32      32    -0.175612     -1.57107
      33       0     0.920723      0.00000
      33       1     -2.15896     0.316134
      33       2     0.715054     -1.54271
      33       3    -0.407496    -0.542341
      33       4     -2.12300      1.14970
      33       5      1.55545     0.759758
      33       6      1.18405      1.46217
      33       7      1.55086    -0.250691
      33       8    -0.866202    -0.902787
      33       9     -2.91602     0.968714
      33      10    -0.337023      1.51153
      33      11      2.45040   -0.0308137
      33      12      2.20282    -0.857244
      33      13     -1.23437   -0.0886959
      33      14     -4.36672      2.75650
      33      15     0.735957    -0.361147
      33      16      2.38762    -0.506110
      33      17      2.87769     -3.06951
      33      18     0.433641     -2.10162
      33      19     -1.58417      2.50890
      33      20      3.04509    -0.510731
      33      21      1.22366    -0.589709
      33      22      1.15112     -3.96554
      33      23     -3.36729     0.336202
      33      24     -2.18662      5.64100
      33      25    -0.466668    -0.529917
      33      26      3.35727     -1.31863
      33      27     -1.70929     -4.01104
      33      28     -4.30448      3.79706
      33      29     -2.61756     -2.26300
      33      30      6.90777      2.62377
      33      31     -1.10216      3.20266
      33      32      4.37213      2.62435
      33      33     0.379678     0.676157
      34       0     -1.69457      0.00000
      34       1      2.60549      1.61595
      34       2     0.290223     -1.21172
      34       3    -0.344012     -2.18861
      34       4     0.369169     0.477969
      34       5   -0.0480850    -0.154723
      34       6     0.637856     0.135041
      34       7    -0.291516     0.968456
