Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      26      25     -4.22829     -2.44186
      26      26      1.60230     -2.30827
      27       0     0.679816      0.00000
      27       1    -0.282620     -1.02465
      27       2   -0.0943877      1.13806
      27       3     0.251356     0.611375
      27       4    -0.715762      1.08897
      27       5     0.304955      1.69487
      27       6     0.720686     -1.49492
      27       7    -0.554205    0.0780382
      27       8      1.76604    -0.376835
      27       9    -0.146023     -1.17112
      27      10    -0.621358      1.01090
      27      11     0.691268   -0.0517973
      27      12     -3.72354     0.529906
      27      13     0.685973     0.833007
      27      14    -0.642581     -1.15931
      27      15    -0.150845      2.15711
      27      16      2.07057     0.972318
      27      17     -1.78260      1.14152
      27      18     0.759347      2.04410
      27      19     0.109380     -3.47596
      27      20     0.987453      1.80778
      27      21      1.97862     0.560192
      27      22     -4.18114      2.51421
      27      23    0.0314387     0.666870
      27      24     -2.46061     -4.86639
      27      25      6.21605      1.70196
      27      26     -5.54185      1.99901
      27      27  -0.00762014    -0.384242
      28       0    -0.151762      0.00000
      28       1      1.72034     0.377570
      28       2    -0.855313    -0.195378
      28       3      1.32835      1.50731
      28       4      1.52453   -0.0588267
      28       5    -0.325545    -0.361587
      28       6      1.43160      1.42257
      28       7    -0.351080    -0.357280
      28       8     -1.17184      1.52440
      28       9    -0.206134    -0.208236
      28      10     -2.14393     -1.62614
      28      11     0.330670      1.44159
      28      12      1.30422    0.0133307
      28      13     -1.82475      1.65415
      28      14      1.08951      1.30898
      28      15     -1.62821     -3.81945
      28      16     0.940063     0.588868
      28      17      2.01963     -2.81942
      28      18     -2.01767      1.38751
      28      19    -0.195633      2.25024
      28      20     -3.10787     -1.36083
      28      21     0.824229      1.40633
      28      22      4.06842     -1.08966
      28      23     -1.38875      5.58055
      28      24     0.690029     0.693935
      28      25     -6.00660     -1.41259
      28      26      4.37061     -1.41803
      28      27     -2.39538      7.37020
      28      28     -1.30447     -1.02710
      29       0      1.24132      0.00000
      29       1    -0.449244     0.726804
      29       2     0.216102     -1.11422
      29       3    -0.589982   -0.0580420
      29       4     0.533007    -0.243349
      29       5     0.393090     -1.34113
