Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  1.7500000000E+02 -8.5000000000E+01 -3.3635318275E+01  2.6945173938E+01  3.2311031388E+01 -5.1333964823E+00  9.0998224383E+00 -1.3035663743E+01 -4.8360935444E+00  2.4302370102E+01 -7.1920970232E-01 -2.9091240195E+01 -1.9106459493E+00  3.9500808452E+01  5.4254119470E+00 -4.5463726532E+00  6.5650963814E+00  7.9956508397E+01 -8.0926955517E+01
  1.8000000000E+02 -8.5000000000E+01 -3.2712436424E+01  2.6879798043E+01  3.3182318774E+01 -5.1513899992E+00  9.1095215893E+00 -1.3008504001E+01 -4.5443611723E+00  2.4046655501E+01 -7.0975072098E-01 -2.8500800009E+01 -1.7755674614E+00  4.0654088609E+01  5.4841147561E+00 -4.5008115861E+00  6.2464848868E+00  8.0431456795E+01 -8.0498106728E+01
  1.8500000000E+02 -8.5000000000E+01 -3.1715057887E+01  2.6932098695E+01  3.3960361817E+01 -5.1401799372E+00  9.1258659297E+00 -1.2987861052E+01 -4.1659676364E+00  2.3788204084E+01 -6.8259845090E-01 -2.7912500799E+01 -1.5134381420E+00  4.1725987818E+01  5.5035904860E+00 -4.4685331765E+00  5.9048335016E+00  8.1080638995E+01 -8.0076450368E+01
  1.9000000000E+02 -8.5000000000E+01 -3.0651086390E+01  2.7079941398E+01  3.4631279983E+01 -5.1031446926E+00  9.1468607170E+00 -1.2973854176E+01 -3.7124819820E+00  2.3524561527E+01 -6.3797231466E-01 -2.7322462588E+01 -1.1424085531E+00  4.2707719397E+01  5.4870028729E+00 -4.4490722924E+00  5.5353870761E+00  8.1880037306E+01 -7.9664109885E+01
  1.9500000000E+02 -8.5000000000E+01 -2.9537570543E+01  2.7316049926E+01  3.5178549354E+01 -5.0431313554E+00  9.1706968388E+00 -1.2966550055E+01 -3.1937979797E+00  2.3253583728E+01 -5.7624814504E-01 -2.6732043736E+01 -6.7204182311E-01  4.3584115985E+01  5.4314025284E+00 -4.4361888169E+00  5.1372315695E+00  8.2809334981E+01 -7.9262964754E+01
  2.0000000000E+02 -8.5000000000E+01 -2.8403743219E+01  2.7628212190E+01  3.5591399453E+01 -4.9625561056E+00  9.1957629959E+00 -1.2965958916E+01 -2.6184882627E+00  2.2973507059E+01 -4.9795675166E-01 -2.6158573777E+01 -1.1608032886E-01  4.4337901485E+01  5.3358749256E+00 -4.4249775364E+00  4.7174136353E+00  8.3851295662E+01 -7.8874691348E+01
  2.0500000000E+02 -8.5000000000E+01 -2.7280106057E+01  2.7991177804E+01  3.5882147316E+01 -4.8634865915E+00  9.2206416925E+00 -1.2972039047E+01 -1.9941049525E+00  2.2683017336E+01 -4.0378273744E-01 -2.5628410210E+01  5.0601735069E-01  4.4974477558E+01  5.2058956972E+00 -4.4184985745E+00  4.2834915431E+00  8.4991237755E+01 -7.8500794619E+01
  2.1000000000E+02 -8.5000000000E+01 -2.6180596888E+01  2.8384049733E+01  3.6077155119E+01 -4.7477077667E+00  9.2441009934E+00 -1.2984697658E+01 -1.3274241423E+00  2.2381319867E+01 -2.9456201991E-01 -2.5153061134E+01  1.1814592498E+00  4.5516182807E+01  5.0475961545E+00 -4.4228303774E+00  3.8402319893E+00  8.6216595752E+01 -7.8142632620E+01
  2.1500000000E+02 -8.5000000000E+01 -2.5107301381E+01  2.8793447188E+01  3.6198018080E+01 -4.6167699642E+00  9.2650815084E+00 -1.3003792483E+01 -6.2463087728E-01  2.2068184938E+01 -1.7127676838E-01 -2.4730060842E+01  1.9065182143E+00  4.5980641775E+01  4.8641603034E+00 -4.4463374721E+00  3.3924455560E+00  8.7516557090E+01 -7.7801435502E+01
  2.2000000000E+02 -8.5000000000E+01 -2.4057032291E+01  2.9210804923E+01  3.6262813284E+01 -4.4720306421E+00  9.2826793611E+00 -1.3029134202E+01  1.0854980392E-01  2.1743945875E+01 -3.5046770586E-02 -2.4351510074E+01  2.6778590007E+00  4.6378080285E+01  4.6579586211E+00 -4.4936793134E+00  2.9489139725E+00  8.8881762702E+01 -7.7478320215E+01
  2.2500000000E+02 -8.5000000000E+01 -2.3022031355E+01  2.9633050099E+01  3.6293363982E+01 -4.3146835670E+00  9.2961344400E+00 -1.3060490126E+01  8.6676544663E-01  2.1409448380E+01  1.1288269624E-01 -2.4005960981E+01  3.4898655028E+00  4.6717680859E+01  4.4318477469E+00 -4.5623982238E+00  2.5232905535E+00  9.0304060333E+01 -7.7174301893E+01
  2.3000000000E+02 -8.5000000000E+01 -2.1992577286E+01  3.0064873109E+01  3.6313363366E+01 -4.1457861125E+00  9.3048127675E+00 -1.3097587540E+01  1.6449788910E+00  2.1065968728E+01  2.7115569890E-01 -2.3679188719E+01  4.3387026802E+00  4.7009461787E+01  4.1874186548E+00 -4.6446110666E+00  2.1303334210E+00  9.1776301125E+01 -7.6890302675E+01
