Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  2.5000000000E+02 -8.5000000000E+01 -1.7557499031E+01  3.2433861033E+01  3.5697791205E+01 -3.3863300680E+00  9.2114200715E+00 -1.3604812014E+01  4.9785064313E+00  1.9701279213E+01  9.9989964034E-01 -2.2090869457E+01  8.3130620373E+00  4.7279767774E+01  2.9411940626E+00 -4.7919002882E+00  1.0229358040E+00  9.8048178193E+01 -7.5970025707E+01
  2.5500000000E+02 -8.5000000000E+01 -1.6364264855E+01  3.3074841337E+01  3.5635095968E+01 -3.1752499350E+00  9.1883671484E+00 -1.3665875106E+01  5.7899511947E+00  1.9341267340E+01  1.1872456286E+00 -2.1594652381E+01  9.3141204047E+00  4.7272883779E+01  2.6156862661E+00 -4.7689135563E+00  8.4084166609E-01  9.9687705954E+01 -7.5797098466E+01
  2.6000000000E+02 -8.5000000000E+01 -1.5136707607E+01  3.3754092544E+01  3.5524177103E+01 -2.9569544182E+00  9.1587938395E+00 -1.3730372454E+01  6.5960332034E+00  1.8982907657E+01  1.3753723574E+00 -2.1055662006E+01  1.0330983369E+01  4.7184987113E+01  2.2798756132E+00 -4.7185923210E+00  6.9419008647E-01  1.0134766176E+02 -7.5648060482E+01
  2.6500000000E+02 -8.5000000000E+01 -1.3884026076E+01  3.4464181956E+01  3.5356911230E+01 -2.7319436386E+00  9.1226489963E+00 -1.3797831270E+01  7.3934110819E+00  1.8628231238E+01  1.5626623754E+00 -2.0480980137E+01  1.1358794027E+01  4.7012160711E+01  1.9354866181E+00 -4.6454923062E+00  5.7991941400E-01  1.0302448423E+02 -7.5523307001E+01
  2.7000000000E+02 -8.5000000000E+01 -1.2618284640E+01  3.5195224546E+01  3.5125674125E+01 -2.5006777560E+00  9.0799331712E+00 -1.3867764781E+01  8.1790200942E+00  1.8279136554E+01  1.7475451015E+00 -1.9880838582E+01  1.2392316087E+01  4.6751198383E+01  1.5842116036E+00 -4.5561612660E+00  4.9469542207E-01  1.0471482724E+02 -7.5423166052E+01
  2.7500000000E+02 -8.5000000000E+01 -1.1356349481E+01  3.5933330203E+01  3.4826273884E+01 -2.2635850299E+00  9.0306899997E+00 -1.3939671392E+01  8.9500801372E+00  1.7937354599E+01  1.9285143020E+00 -1.9270801835E+01  1.3425589961E+01  4.6401760411E+01  1.2279572471E+00 -4.4603043576E+00  4.3567056345E-01  1.0641551316E+02 -7.5347899175E+01
  2.8000000000E+02 -8.5000000000E+01 -1.0118566600E+01  3.6663619424E+01  3.4462538061E+01 -2.0210705459E+00  8.9750052114E+00 -1.4013041442E+01  9.7041017941E+00  1.7604423638E+01  2.1041436892E+00 -1.8669798134E+01  1.4453480647E+01  4.5969219761E+01  8.6820028641E-01 -4.3692900724E+00  4.0221605321E-01  1.0812349084E+02 -7.5297701949E+01
  2.8500000000E+02 -8.5000000000E+01 -8.9242434784E+00  3.7376073462E+01  3.4045439623E+01 -1.7735233150E+00  8.9130027034E+00 -1.4087358092E+01  1.0438890546E+01  1.7281674642E+01  2.2731001882E+00 -1.8094500838E+01  1.5473977791E+01  4.5463925238E+01  5.0489012836E-01 -4.2925816743E+00  3.9577228923E-01  1.0983579698E+02 -7.5272704347E+01
  2.9000000000E+02 -8.5000000000E+01 -7.7893836033E+00  3.8066646754E+01  3.3587751240E+01 -1.5213211340E+00  8.8448425086E+00 -1.4162099230E+01  1.1152549035E+01  1.6970226805E+01  2.4341551355E+00 -1.7557045517E+01  1.6488174839E+01  4.4897701259E+01  1.3643401246E-01 -4.2365973995E+00  4.1799407577E-01  1.1154951996E+02 -7.5272970962E+01
  2.9500000000E+02 -8.5000000000E+01 -6.7274662388E+00  3.8735040976E+01  3.3100723238E+01 -1.2648389181E+00  8.7707206930E+00 -1.4236740847E+01  1.1843477920E+01  1.6670993162E+01  2.5861930083E+00 -1.7066348368E+01  1.7499093317E+01  4.4281530371E+01 -2.3975687289E-01 -4.2057661959E+00  4.6974070587E-01  1.1326176497E+02 -7.5298501104E+01
