PEDERSEN CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
76.0	12.0	6.51	6.17	4.73	4.56	0.06	0.08
76.0	13.0	6.88	6.04	5.13	4.55	0.05	0.10
76.0	14.0	6.85	5.62	5.13	4.18	0.05	0.12
76.0	15.0	6.83	5.54	5.19	4.18	0.06	0.14
76.0	16.0	6.88	5.65	5.26	4.22	0.06	0.14
76.0	17.0	6.84	6.24	5.24	4.92	0.06	0.09
76.0	18.0	6.73	6.43	5.29	5.23	0.07	0.07
76.0	19.0	5.56	6.50	4.30	5.34	0.09	0.06
76.0	20.0	6.13	6.05	4.99	4.86	0.09	0.07
76.0	21.0	5.67	5.95	4.59	4.80	0.10	0.07
76.0	22.0	4.87	6.28	3.68	5.10	0.12	0.06
76.0	23.0	4.49	5.62	3.14	4.53	0.12	0.07
74.0	0.0	5.69	7.88	4.00	6.21	0.09	0.05
74.0	1.0	6.75	7.92	5.00	6.16	0.08	0.05
74.0	2.0	7.09	8.14	5.24	6.24	0.09	0.04
74.0	3.0	8.08	9.39	5.85	7.20	0.08	0.04
74.0	4.0	7.18	9.88	4.89	7.67	0.09	0.04
74.0	5.0	5.59	9.19	3.48	7.13	0.11	0.04
74.0	6.0	4.97	8.45	3.16	6.68	0.12	0.04
74.0	7.0	5.18	7.75	3.37	6.03	0.11	0.05
74.0	8.0	5.79	7.67	3.91	5.86	0.10	0.05
74.0	9.0	6.23	8.13	4.17	6.13	0.09	0.05
74.0	10.0	6.70	7.94	4.45	5.83	0.08	0.05
74.0	11.0	6.84	6.80	4.60	4.70	0.06	0.07
74.0	12.0	6.88	5.90	4.81	3.98	0.06	0.11
74.0	13.0	6.94	5.22	4.99	3.53	0.06	0.14
74.0	14.0	7.02	4.73	5.18	3.19	0.05	0.18
74.0	15.0	7.18	4.67	5.35	3.12	0.06	0.21
74.0	16.0	7.57	4.90	5.74	3.28	0.05	0.20
74.0	17.0	7.62	6.22	5.75	4.58	0.05	0.12
74.0	18.0	7.48	7.14	5.82	5.69	0.06	0.08
74.0	19.0	6.80	7.94	5.28	6.55	0.06	0.05
74.0	20.0	6.38	7.82	5.01	6.51	0.07	0.05
74.0	21.0	6.65	7.08	5.37	5.79	0.07	0.06
74.0	22.0	6.44	6.62	5.02	5.23	0.08	0.06
74.0	23.0	6.14	6.28	4.60	4.98	0.08	0.06
72.0	0.0	7.37	9.08	5.40	7.08	0.07	0.04
72.0	1.0	7.60	8.42	5.59	6.43	0.07	0.04
72.0	2.0	7.02	7.90	5.00	5.89	0.08	0.04
72.0	3.0	6.99	8.07	4.78	5.89	0.08	0.04
72.0	4.0	6.93	8.40	4.73	6.24	0.08	0.04
72.0	5.0	7.25	8.86	5.04	6.81	0.07	0.04
72.0	6.0	7.59	9.27	5.40	7.14	0.08	0.04
72.0	7.0	8.00	8.70	5.65	6.26	0.08	0.04
72.0	8.0	8.86	8.85	6.22	6.11	0.07	0.05
72.0	9.0	9.17	9.56	6.27	6.62	0.07	0.05
72.0	10.0	8.68	9.38	5.68	6.45	0.06	0.05
72.0	11.0	7.75	7.57	5.02	4.88	0.06	0.07
72.0	12.0	6.97	6.00	4.73	3.69	0.06	0.10
72.0	13.0	6.59	4.99	4.54	3.08	0.05	0.12
72.0	14.0	6.80	4.78	4.90	3.00	0.05	0.12
72.0	15.0	6.90	4.99	4.88	3.05	0.05	0.13
72.0	16.0	7.52	5.00	5.38	2.86	0.05	0.14
72.0	17.0	7.79	5.35	5.63	3.09	0.05	0.13
72.0	18.0	8.37	6.62	6.30	4.64	0.04	0.09
72.0	19.0	8.52	7.91	6.55	6.19	0.04	0.06
72.0	20.0	7.39	8.48	5.55	6.87	0.05	0.05
72.0	21.0	7.45	7.71	5.71	6.05	0.05	0.05
72.0	22.0	6.60	7.20	4.73	5.37	0.06	0.05
72.0	23.0	6.89	7.31	4.92	5.52	0.06	0.05
70.0	0.0	10.59	10.42	8.21	7.83	0.06	0.04
70.0	1.0	9.32	9.79	6.94	7.30	0.06	0.04
70.0	2.0	7.90	8.72	5.45	6.36	0.07	0.04
70.0	3.0	7.36	8.56	4.67	6.01	0.07	0.05
70.0	4.0	7.42	8.29	4.91	5.88	0.07	0.05
70.0	5.0	8.88	9.17	6.27	6.71	0.06	0.05
70.0	6.0	10.11	10.20	7.24	7.35	0.06	0.04
70.0	7.0	10.66	10.96	7.24	7.59	0.06	0.05
70.0	8.0	11.66	10.70	8.02	6.88	0.06	0.06
70.0	9.0	11.95	10.34	8.52	6.46	0.06	0.06
70.0	10.0	9.34	9.88	6.14	6.28	0.06	0.06
70.0	11.0	7.68	7.57	4.95	4.52	0.07	0.07
70.0	12.0	6.71	6.17	4.45	3.64	0.07	0.08
70.0	13.0	6.77	5.38	4.41	3.12	0.05	0.09
70.0	14.0	7.36	5.28	5.14	3.05	0.05	0.10
70.0	15.0	7.43	5.19	5.00	2.83	0.05	0.09
70.0	16.0	7.83	5.49	5.31	3.04	0.05	0.09
70.0	17.0	8.20	5.54	5.76	3.01	0.05	0.10
70.0	18.0	9.67	6.15	7.15	3.75	0.04	0.11
70.0	19.0	10.14	7.40	7.60	5.16	0.04	0.09
70.0	20.0	9.37	8.28	6.91	6.13	0.04	0.07
70.0	21.0	9.30	9.09	6.86	6.84	0.04	0.05
70.0	22.0	8.28	8.53	5.75	6.07	0.05	0.05
70.0	23.0	9.36	9.70	6.77	7.14	0.05	0.05
68.0	0.0	14.16	10.62	11.21	7.79	0.04	0.05
68.0	1.0	12.60	10.19	9.70	7.45	0.05	0.05
