HALL CONDUCTANCE COEFFICIENTS (Smoothed)
Conductance Model for Extreme Events (CMEE)
Developed by Agnit Mukhopadhyay (March 2019)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
74.0	14.00	13.85	8.99	10.42	5.87	0.10	0.10
74.0	15.00	13.30	7.87	9.75	4.31	0.10	0.10
74.0	16.00	13.02	9.40	9.00	5.38	0.10	0.09
74.0	17.00	14.08	11.15	9.71	6.78	0.05	0.07
74.0	18.00	13.08	12.19	8.03	7.13	0.06	0.07
74.0	19.00	13.66	13.57	8.30	8.20	0.04	0.06
74.0	20.00	23.05	25.26	17.09	18.86	0.04	0.05
74.0	21.00	22.15	25.32	15.74	18.90	0.05	0.05
74.0	22.00	24.00	25.91	17.60	19.84	0.06	0.05
74.0	23.00	22.71	23.08	16.99	17.88	0.06	0.05
72.0	0.00	26.18	26.72	20.07	20.61	0.06	0.04
72.0	1.00	23.88	24.73	18.16	19.01	0.06	0.04
72.0	2.00	25.04	24.45	20.04	19.71	0.06	0.04
72.0	3.00	22.68	24.06	18.49	19.53	0.06	0.04
72.0	4.00	22.87	21.65	18.24	17.02	0.06	0.04
72.0	5.00	18.34	18.17	13.27	13.10	0.06	0.04
72.0	6.00	17.66	17.74	11.71	11.79	0.06	0.05
72.0	7.00	14.38	15.30	7.00	7.93	0.06	0.05
72.0	8.00	16.68	15.38	8.49	7.74	0.06	0.05
72.0	9.00	17.60	16.81	10.70	9.90	0.06	0.04
72.0	10.00	14.79	15.00	9.16	9.38	0.07	0.04
72.0	11.00	12.77	13.33	7.95	8.52	0.06	0.05
72.0	12.00	12.30	10.46	7.96	6.39	0.06	0.05
72.0	13.00	12.79	9.38	9.40	5.99	0.07	0.06
72.0	14.00	12.71	8.16	9.75	4.95	0.10	0.06
72.0	15.00	12.71	7.80	9.67	4.60	0.10	0.07
72.0	16.00	12.72	7.91	9.05	3.96	0.07	0.06
72.0	17.00	13.66	9.09	9.01	4.44	0.06	0.07
72.0	18.00	14.25	11.62	8.75	6.46	0.04	0.06
72.0	19.00	21.68	25.02	15.51	18.86	0.04	0.06
72.0	20.00	27.27	30.44	20.09	23.25	0.04	0.05
72.0	21.00	26.65	28.49	19.17	21.02	0.04	0.05
72.0	22.00	29.26	32.06	21.66	24.98	0.05	0.05
72.0	23.00	25.85	28.38	19.13	21.67	0.05	0.04
70.0	0.00	29.93	29.33	22.03	21.90	0.05	0.04
70.0	1.00	26.50	29.87	19.58	22.94	0.06	0.04
70.0	2.00	28.27	27.13	22.11	20.97	0.06	0.04
70.0	3.00	26.15	26.68	20.10	20.64	0.06	0.04
70.0	4.00	24.79	24.88	18.86	18.48	0.06	0.05
70.0	5.00	22.14	22.21	14.63	14.70	0.06	0.05
70.0	6.00	20.54	20.20	11.94	11.61	0.07	0.05
70.0	7.00	18.93	18.79	10.54	10.41	0.08	0.06
70.0	8.00	21.77	19.15	13.71	11.09	0.11	0.07
70.0	9.00	18.20	18.43	10.65	10.88	0.08	0.10
70.0	10.00	15.99	16.61	9.73	10.36	0.09	0.11
70.0	11.00	14.96	13.54	9.34	7.92	0.08	0.10
70.0	12.00	12.05	11.13	7.51	6.98	0.04	0.09
70.0	13.00	12.75	10.79	9.31	7.56	0.04	0.08
70.0	14.00	12.28	9.23	9.28	6.22	0.06	0.08
70.0	15.00	12.71	8.37	9.95	5.61	0.09	0.07
70.0	16.00	11.52	7.95	8.63	5.06	0.08	0.06
70.0	17.00	12.19	8.63	8.42	4.87	0.06	0.06
70.0	18.00	14.50	9.93	9.26	4.68	0.04	0.05
70.0	19.00	24.66	28.41	17.32	21.70	0.04	0.05
70.0	20.00	30.40	34.04	22.99	26.64	0.03	0.05
70.0	21.00	32.94	35.95	24.14	27.62	0.04	0.05
70.0	22.00	29.41	34.87	20.09	26.16	0.04	0.04
70.0	23.00	32.26	32.89	23.62	24.26	0.04	0.04
68.0	0.00	30.55	33.32	21.42	24.20	0.04	0.04
68.0	1.00	28.52	32.89	20.59	24.46	0.05	0.05
68.0	2.00	28.13	31.06	20.36	23.30	0.05	0.05
68.0	3.00	27.59	29.59	19.81	21.14	0.06	0.05
68.0	4.00	26.98	29.73	17.83	20.58	0.06	0.05
68.0	5.00	27.06	24.50	17.01	15.30	0.05	0.05
68.0	6.00	23.45	23.67	13.02	14.05	0.05	0.06
68.0	7.00	23.30	19.95	14.38	11.03	0.05	0.07
68.0	8.00	22.29	18.74	14.36	10.80	0.10	0.07
68.0	9.00	20.84	18.70	14.24	12.11	0.09	0.07
68.0	10.00	14.89	14.45	8.97	9.10	0.11	0.10
68.0	11.00	12.61	11.23	8.22	6.84	0.09	0.10
68.0	12.00	12.94	11.12	8.99	7.56	0.09	0.08
68.0	13.00	12.84	11.23	9.77	8.46	0.08	0.07
68.0	14.00	13.71	10.89	11.47	8.53	0.09	0.06
68.0	15.00	12.70	10.29	10.61	8.21	0.08	0.05
68.0	16.00	13.11	8.79	11.19	6.67	0.07	0.05
68.0	17.00	12.43	9.49	9.68	6.74	0.06	0.05
68.0	18.00	13.88	10.75	9.69	6.57	0.04	0.05
68.0	19.00	28.88	28.03	22.42	21.57	0.04	0.05
68.0	20.00	33.90	32.84	25.64	25.03	0.03	0.05
68.0	21.00	32.00	34.79	22.85	26.19	0.03	0.05
68.0	22.00	32.87	38.27	22.91	29.03	0.04	0.04
68.0	23.00	34.55	38.04	24.89	28.37	0.04	0.04
66.0	0.00	31.54	33.98	21.83	25.12	0.04	0.05
66.0	1.00	30.41	33.60	21.44	24.64	0.05	0.06
66.0	2.00	28.00	33.56	19.65	25.21	0.05	0.06
66.0	3.00	30.22	33.65	21.81	25.24	0.05	0.05
66.0	4.00	31.48	32.34	23.02	23.88	0.05	0.05
66.0	5.00	30.26	29.03	20.26	19.83	0.05	0.05
66.0	6.00	25.14	23.60	15.90	15.19	0.05	0.05
66.0	7.00	22.00	19.77	15.19	12.94	0.06	0.06
66.0	8.00	19.34	16.70	13.54	10.90	0.11	0.07
66.0	9.00	13.71	13.46	8.79	8.54	0.12	0.07
66.0	10.00	11.26	10.59	7.03	6.35	0.11	0.08
66.0	11.00	11.02	10.21	7.35	6.78	0.11	0.08
66.0	12.00	12.28	9.30	9.37	6.58	0.11	0.08
66.0	13.00	12.61	10.21	10.57	8.17	0.11	0.08
66.0	14.00	15.19	10.89	13.58	9.28	0.09	0.07
66.0	15.00	13.32	9.87	11.86	8.27	0.11	0.05
66.0	16.00	11.10	9.34	9.49	7.73	0.08	0.04
66.0	17.00	11.73	9.88	9.86	8.00	0.06	0.04
66.0	18.00	13.26	11.56	10.54	8.84	0.07	0.04
66.0	19.00	27.19	23.76	22.98	19.56	0.04	0.05
66.0	20.00	30.84	27.60	24.79	21.55	0.03	0.05
66.0	21.00	31.18	34.91	22.94	27.10	0.03	0.05
66.0	22.00	35.04	35.47	26.34	26.76	0.04	0.05
66.0	23.00	34.33	36.46	24.19	27.07	0.04	0.06
64.0	0.00	29.91	33.64	22.30	25.56	0.04	0.06
64.0	1.00	32.29	33.60	23.52	25.32	0.04	0.07
64.0	2.00	32.19	33.61	24.15	25.56	0.05	0.07
64.0	3.00	29.11	33.61	21.80	26.30	0.05	0.06
64.0	4.00	29.99	32.34	23.55	25.90	0.05	0.05
64.0	5.00	29.76	24.24	24.18	19.05	0.04	0.05
64.0	6.00	25.16	21.41	19.71	15.96	0.05	0.06
64.0	7.00	18.69	14.69	13.66	9.94	0.06	0.07
64.0	8.00	14.04	11.66	10.58	8.21	0.10	0.07
64.0	9.00	11.96	8.82	9.16	6.02	0.11	0.07
64.0	10.00	5.08	4.16	3.77	2.84	0.16	0.07
64.0	11.00	4.67	4.22	3.59	3.08	0.18	0.07
