HALL CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
62.0	14.0	7.99	9.30	3.46	5.10	0.31	0.05
62.0	15.0	6.95	9.58	2.55	5.35	0.29	0.05
62.0	16.0	5.91	10.38	1.49	5.88	0.33	0.04
62.0	17.0	6.27	10.21	1.80	5.83	0.18	0.03
62.0	18.0	7.47	10.69	3.61	6.26	0.20	0.03
62.0	19.0	8.07	8.94	4.23	4.95	0.11	0.04
62.0	20.0	10.61	8.95	6.04	4.96	0.07	0.04
62.0	21.0	17.25	11.39	10.71	6.54	0.05	0.06
62.0	22.0	22.49	15.89	13.38	9.36	0.04	0.07
62.0	23.0	25.03	18.41	14.37	10.71	0.03	0.08
60.0	0.0	20.02	14.21	10.42	7.10	0.04	0.20
60.0	1.0	20.18	15.27	9.21	7.63	0.04	0.23
60.0	2.0	21.83	16.31	10.45	6.71	0.04	0.13
60.0	3.0	22.17	14.90	11.76	4.09	0.05	0.05
60.0	4.0	20.31	13.16	10.15	2.79	0.05	0.04
60.0	5.0	16.52	11.83	7.49	3.11	0.06	0.09
60.0	6.0	11.94	10.12	4.79	3.00	0.13	0.10
60.0	7.0	8.92	8.16	3.11	2.42	0.24	0.11
60.0	8.0	10.79	8.03	5.49	2.87	0.20	0.10
60.0	9.0	10.93	7.72	6.16	2.98	0.19	0.11
60.0	10.0	10.45	7.70	5.99	3.21	0.20	0.09
60.0	11.0	9.83	7.77	5.48	3.40	0.23	0.08
60.0	12.0	9.23	8.12	4.84	3.82	0.25	0.07
60.0	13.0	8.61	8.47	4.12	4.18	0.29	0.06
60.0	14.0	7.69	8.52	3.19	4.21	0.33	0.05
60.0	15.0	6.63	8.39	2.17	4.01	0.35	0.05
60.0	16.0	5.65	7.88	1.16	3.42	0.32	0.04
60.0	17.0	5.46	7.71	1.09	3.50	0.20	0.04
60.0	18.0	5.86	7.88	2.03	3.81	0.28	0.05
60.0	19.0	6.68	6.88	2.94	2.92	0.14	0.05
60.0	20.0	7.68	6.59	3.80	2.82	0.09	0.04
60.0	21.0	9.94	7.42	5.38	3.72	0.06	0.06
60.0	22.0	12.43	9.59	6.58	5.09	0.04	0.06
60.0	23.0	15.01	11.32	7.65	5.77	0.03	0.08
