Equatorial Region (ABS(MLAT) < 15 degrees)
==========================================

***************************************************
Lower-band chorus
kp < 2
***************************************************

         MLT          L         B_wave^2
         (h)                    (pT^2)

      4.50000      5.85000      128.652
      4.50000      5.95000      209.390
      4.50000      6.05000      121.583
      4.50000      6.15000      39.6820
      4.50000      6.25000      36.1710
      4.50000      6.35000      116.377
      4.50000      6.45000      123.643
      4.50000      6.55000      30.3519
      4.50000      6.65000      2.58635
      4.50000      6.75000     0.962296
      4.50000      6.85000      99999.0
      4.50000      6.95000      99999.0
      4.50000      7.05000      99999.0
      4.50000      7.15000      99999.0
      4.50000      7.25000      99999.0
      4.50000      7.35000      99999.0
      4.50000      7.45000      99999.0
      4.50000      7.55000      99999.0
      4.50000      7.65000      99999.0
      4.50000      7.75000      99999.0
      4.50000      7.85000      99999.0
      4.50000      7.95000      99999.0
      5.50000      1.05000      99999.0
      5.50000      1.15000      99999.0
      5.50000      1.25000      99999.0
      5.50000      1.35000      99999.0
      5.50000      1.45000      99999.0
      5.50000      1.55000      99999.0
      5.50000      1.65000      99999.0
      5.50000      1.75000      99999.0
      5.50000      1.85000      99999.0
      5.50000      1.95000    0.0719805
      5.50000      2.05000     0.216721
      5.50000      2.15000     0.566474
      5.50000      2.25000      12.0677
      5.50000      2.35000      40.1134
      5.50000      2.45000      19.5158
      5.50000      2.55000      36.4104
      5.50000      2.65000      22.1374
      5.50000      2.75000      8.12308
      5.50000      2.85000      2.80022
      5.50000      2.95000      1.11075
      5.50000      3.05000     0.683016
      5.50000      3.15000     0.497711
      5.50000      3.25000     0.440504
      5.50000      3.35000     0.294464
      5.50000      3.45000     0.346861
      5.50000      3.55000     0.326731
      5.50000      3.65000     0.832470
      5.50000      3.75000      2.11714
      5.50000      3.85000      1.77478
      5.50000      3.95000      4.63114
      5.50000      4.05000      4.67471
      5.50000      4.15000      8.00524
      5.50000      4.25000      7.04145
      5.50000      4.35000      5.44836
      5.50000      4.45000      6.70710
      5.50000      4.55000      7.02644
